,Date,Open,High,Low,Close,Volume
0,10-Nov-17,175.11,175.38,174.27,174.67,25104890
1,9-Nov-17,175.11,176.1,173.14,175.88,29482596
2,8-Nov-17,174.66,176.24,174.33,176.24,24409527
3,7-Nov-17,173.91,175.25,173.6,174.81,24361485
4,6-Nov-17,172.36,174.99,171.72,174.25,35026306
5,3-Nov-17,174.0,174.26,171.12,172.5,59398631
6,2-Nov-17,166.6,168.5,165.28,168.11,41393373
7,1-Nov-17,169.87,169.94,165.61,166.89,33637762
8,31-Oct-17,167.9,169.65,166.94,169.04,36046828
9,30-Oct-17,163.89,168.07,163.72,166.72,44700772
10,27-Oct-17,159.29,163.6,158.7,163.05,44454160
11,26-Oct-17,157.23,157.83,156.78,157.41,17000469
12,25-Oct-17,156.91,157.55,155.27,156.41,21207098
13,24-Oct-17,156.29,157.42,156.2,157.1,17757230
14,23-Oct-17,156.89,157.69,155.5,156.17,21984327
15,20-Oct-17,156.61,157.75,155.96,156.25,23974146
16,19-Oct-17,156.75,157.08,155.02,155.98,42584166
17,18-Oct-17,160.42,160.71,159.6,159.76,16374164
18,17-Oct-17,159.78,160.87,159.23,160.47,18997275
19,16-Oct-17,157.9,160.0,157.65,159.88,24121452
20,13-Oct-17,156.73,157.28,156.41,156.99,16394188
21,12-Oct-17,156.35,157.37,155.73,156.0,16125054
22,11-Oct-17,155.97,156.98,155.75,156.55,16905640
23,10-Oct-17,156.06,158.0,155.1,155.9,15617014
24,9-Oct-17,155.81,156.73,155.48,155.84,16262923
25,6-Oct-17,154.97,155.49,154.56,155.3,17407558
26,5-Oct-17,154.18,155.44,154.05,155.39,21283769
27,4-Oct-17,153.63,153.86,152.46,153.48,20163750
28,3-Oct-17,154.01,155.09,153.91,154.48,16230293
29,2-Oct-17,154.26,154.45,152.72,153.81,18698842
30,29-Sep-17,153.21,154.13,152.0,154.12,26299810
31,28-Sep-17,153.89,154.28,152.7,153.28,22005455
32,27-Sep-17,153.8,154.72,153.54,154.23,25182779
33,26-Sep-17,151.78,153.92,151.69,153.14,36660045
34,25-Sep-17,149.99,151.83,149.16,150.55,44387336
35,22-Sep-17,151.54,152.27,150.56,151.89,46645443
36,21-Sep-17,155.8,155.8,152.75,153.39,37511661
37,20-Sep-17,157.9,158.26,153.83,156.07,52951364
38,19-Sep-17,159.51,159.77,158.44,158.73,20810632
39,18-Sep-17,160.11,160.5,158.0,158.67,28269435
40,15-Sep-17,158.47,160.97,158.0,159.88,49114602
41,14-Sep-17,158.99,159.4,158.09,158.28,23760749
42,13-Sep-17,159.87,159.96,157.91,159.65,44907361
